[2018-03-13 17:42:26] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@3c7f66c4: startup date [Tue Mar 13 17:42:26 CST 2018]; root of context hierarchy
[2018-03-13 17:42:27] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.5.Final
[2018-03-13 17:42:27] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
[2018-03-13 17:42:27] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$e3b04d1f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2018-03-13 17:42:28] INFO  o.s.c.c.client.ConfigServicePropertySourceLocator - Fetching config from server at: http://127.0.0.1:7900/
[2018-03-13 17:42:28] INFO  o.s.c.c.client.ConfigServicePropertySourceLocator - Located environment: name=sv-data,comm, profiles=[default], label=null, version=null, state=null
[2018-03-13 17:42:28] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: CompositePropertySource [name='configService', propertySources=[MapPropertySource {name='file:D:/integrated/integrated/edu/confs/loc-prv/comm.yml'}, MapPropertySource {name='file:D:/integrated/integrated/edu/confs/loc-prv/sv-data.yml'}]]
[2018-03-13 17:42:28] INFO  com.integrated.edu.Application - No active profile set, falling back to default profiles: default
[2018-03-13 17:42:28] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@64beebb7: startup date [Tue Mar 13 17:42:28 CST 2018]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@3c7f66c4
[2018-03-13 17:42:31] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
[2018-03-13 17:42:32] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=505f923d-603a-3ef1-8639-81ad59a5de84
[2018-03-13 17:42:32] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
[2018-03-13 17:42:32] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.integrated.edu.data.service.SaService' of type [org.springframework.cloud.netflix.feign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
